ID_Cliente,Idade,Genero,Ganho_Anual (USD),Renda_Mensal,Nivel_de_educacao,Tempo_de_Uso (Horas/Dias),Redes_Sociais,Nivel_de_Influencia,Decisao_de_Compra,Categoria_do_Produto,Produto,Total_Gasto (USD),Nome_da_Marca,Cidade
151,34,Masculino,68000,5666.67,Doutorado,2.9,"Twitter, LinkedIn",Muito Influenciavel,Sim,Electronics,Smartphone,900,"Samsung, iPhone",Miami
152,29,Feminino,54000,4500.0,Mestrado,2.5,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,20,"Maybelline, L'Oréal",Austin
153,33,Masculino,62000,5166.67,Bacharelado,2.7,"Instagram, Twitter",Alguma Influencia,Sim,Home Decor,Throw Pillows,50,"IKEA, Target",San Francisco
154,27,Feminino,52000,4333.33,Mestrado,2.6,"Pinterest, Instagram",Muito Influenciavel,Sim,Fashion,Jeans,60,"Levi's, H&M",Chicago
155,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Electronics,Bluetooth Speaker,60,"JBL, Sony",New York
156,25,Feminino,44000,3666.67,Bacharelado,2.4,"Snapchat, Instagram",Alguma Influencia,Sim,Beauty,Skincare,35,"Neutrogena, CeraVe",Austin
157,29,Masculino,55000,4583.33,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",Los Angeles
158,30,Feminino,57000,4750.0,Mestrado,2.9,"Facebook, Instagram",Muito Influenciavel,Sim,Home Decor,Curtains,40,"IKEA, Target",Seattle
159,34,Masculino,70000,5833.33,Bacharelado,3.1,"Instagram, Twitter",Alguma Influencia,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Miami
160,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Los Angeles
161,29,Masculino,55000,4583.33,Bacharelado,2.5,"Instagram, Facebook",Alguma Influencia,Sim,Electronics,Headphones,100,"Sony, Bose",San Diego
162,28,Feminino,48000,4000.0,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Beauty,Nail Polish,10,"Essie, OPI",New York
163,30,Masculino,56000,4666.67,Bacharelado,2.6,"Facebook, Twitter",Alguma Influencia,Sim,Home Decor,Bedding,120,"IKEA, Target",Austin
164,33,Feminino,62000,5166.67,Mestrado,2.8,"Instagram, TikTok",Muito Influenciavel,Sim,Fashion,T-shirt,20,"Uniqlo, Gap",Seattle
165,27,Masculino,51000,4250.0,Bacharelado,2.3,"Twitter, Snapchat",Alguma Influencia,Sim,Electronics,Smartphone,800,"Samsung, iPhone",Miami
166,28,Feminino,52000,4333.33,Bacharelado,2.4,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,15,"Maybelline, L'Oréal",Chicago
167,32,Masculino,63000,5250.0,Bacharelado,2.7,"Facebook, LinkedIn",Muito Influenciavel,Sim,Fitness,Home Gym Equipment,900,"Bowflex, NordicTrack",New York
168,29,Feminino,54000,4500.0,Mestrado,2.5,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Lighting,70,"Philips, IKEA",San Francisco
169,31,Masculino,60000,5000.0,Bacharelado,2.9,"Instagram, Twitter",Muito Influenciavel,Sim,Electronics,Smartwatch,300,"Apple, Garmin",Chicago
170,26,Feminino,46000,3833.33,Bacharelado,2.2,"TikTok, Snapchat",Alguma Influencia,Sim,Fashion,Jeans,40,"Levi's, H&M",Houston
171,28,Masculino,52000,4333.33,Mestrado,2.6,"Instagram, Pinterest",Alguma Influencia,Sim,Beauty,Skincare,45,"Neutrogena, CeraVe",Miami
172,29,Feminino,54000,4500.0,Mestrado,2.7,"Facebook, TikTok",Muito Influenciavel,Sim,Fitness,Resistance Bands,20,"Bodylastics, Fit Simplify",Los Angeles
173,33,Masculino,62000,5166.67,Bacharelado,2.5,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Soundbar,150,"Bose, Sonos",Phoenix
174,27,Feminino,52000,4333.33,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Wall Art,90,"IKEA, Wayfair",Austin
175,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Beauty,Lip Gloss,10,"Fenty Beauty, NYX",Seattle
176,25,Feminino,44000,3666.67,Bacharelado,2.3,"Snapchat, Instagram",Alguma Influencia,Sim,Electronics,Laptop,700,"Apple, Dell",Boston
177,29,Masculino,58000,4833.33,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Curtains,30,"IKEA, Target",Los Angeles
178,30,Feminino,57000,4750.0,Mestrado,2.7,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,Sneakers,80,"Nike, Adidas",New York
179,34,Masculino,70000,5833.33,Bacharelado,2.9,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Wireless Earbuds,50,"Apple, Sony",Miami
180,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Seattle
181,28,Masculino,49000,4083.33,Bacharelado,2.2,"Instagram, Facebook",Alguma Influencia,Sim,Home Decor,Kitchen Appliances,250,"KitchenAid, Cuisinart",Phoenix
182,27,Feminino,52000,4333.33,Bacharelado,2.3,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Wireless Earbuds,80,"Apple, Sony",Austin
183,33,Masculino,64000,5333.33,Doutorado,3.1,"Twitter, LinkedIn",Muito Influenciavel,Sim,Fitness,Yoga Mat,20,"Gaiam, Manduka",Chicago
184,29,Feminino,55000,4583.33,Mestrado,2.7,"Instagram, Pinterest",Muito Influenciavel,Sim,Beauty,Foundation,30,"Fenty Beauty, Maybelline",Seattle
185,28,Masculino,46000,3833.33,Bacharelado,2.4,"Snapchat, Instagram",Alguma Influencia,Sim,Fashion,Sneakers,60,"Nike, Adidas",San Francisco
186,27,Feminino,50000,4166.67,Bacharelado,2.5,"Instagram, TikTok",Alguma Influencia,Sim,Home Decor,Wall Clock,35,"IKEA, Howard Miller",Los Angeles
187,32,Masculino,61000,5083.33,Bacharelado,2.8,"Facebook, LinkedIn",Muito Influenciavel,Sim,Electronics,Laptop,900,"Apple, Dell",Houston
188,29,Feminino,54000,4500.0,Mestrado,2.6,"Pinterest, Instagram",Muito Influenciavel,Sim,Fashion,Dress,50,"Zara, H&M",Miami
189,27,Masculino,53000,4416.67,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",New York
190,26,Feminino,47000,3916.67,Bacharelado,2.3,"Instagram, TikTok",Alguma Influencia,Sim,Home Decor,Curtains,40,"IKEA, Target",Austin
191,28,Masculino,52000,4333.33,Mestrado,2.7,"Instagram, Pinterest",Alguma Influencia,Sim,Electronics,Smart Speaker,60,"Amazon Echo, Google Home",San Diego
192,29,Feminino,54000,4500.0,Mestrado,2.8,"Facebook, TikTok",Muito Influenciavel,Sim,Fitness,Resistance Bands,25,"Bodylastics, Fit Simplify",Boston
193,33,Masculino,62000,5166.67,Bacharelado,2.6,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Bluetooth Speaker,70,"JBL, Sony",Phoenix
194,27,Feminino,52000,4333.33,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Beauty,Lip Gloss,15,"MAC Cosmetics, Revlon",Austin
195,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Home Decor,Bedding,80,"IKEA, Target",Chicago
196,25,Feminino,44000,3666.67,Bacharelado,2.2,"Snapchat, Instagram",Alguma Influencia,Sim,Electronics,Smartwatch,250,"Apple, Garmin",Los Angeles
197,29,Masculino,57000,4750.0,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Fashion,Jeans,50,"Levi's, H&M",Houston
198,30,Feminino,56000,4666.67,Mestrado,2.7,"Facebook, Instagram",Muito Influenciavel,Sim,Fitness,Yoga Mat,20,"Gaiam, Manduka",New York
199,34,Masculino,68000,5666.67,Bacharelado,2.9,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Wireless Earbuds,40,"Apple, Sony",Miami
200,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Seattle
201,33,Masculino,64000,5333.33,Doutorado,2.8,"Twitter, Instagram",Alguma Influencia,Sim,Home Decor,Throw Pillows,40,"IKEA, Target",Phoenix
202,29,Feminino,54000,4500.0,Mestrado,2.7,"Instagram, TikTok",Alguma Influencia,Sim,Electronics,Soundbar,120,"Bose, Sonos",Miami
203,34,Masculino,70000,5833.33,Bacharelado,3.0,"Facebook, Twitter",Muito Influenciavel,Sim,Beauty,Lipstick,15,"MAC Cosmetics, Revlon",Los Angeles
204,28,Feminino,48000,4000.0,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Fitness,Treadmill,800,"NordicTrack, Peloton",Seattle
205,27,Masculino,52000,4333.33,Bacharelado,2.2,"Twitter, Snapchat",Alguma Influencia,Sim,Fashion,Dress,40,"Zara, H&M",San Francisco
206,30,Feminino,57000,4750.0,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Wall Art,25,"IKEA, Wayfair",Boston
207,33,Masculino,62000,5166.67,Bacharelado,2.6,"Facebook, LinkedIn",Alguma Influencia,Sim,Electronics,Smartwatch,200,"Apple, Garmin",Houston
208,28,Feminino,50000,4166.67,Bacharelado,2.4,"Instagram, Pinterest",Alguma Influencia,Sim,Fitness,Dumbbells,30,"Bowflex, NordicTrack",Chicago
209,27,Masculino,53000,4416.67,Bacharelado,2.7,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Kitchen Appliances,450,"KitchenAid, Cuisinart",Los Angeles
210,30,Feminino,58000,4833.33,Mestrado,2.8,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,Sneakers,70,"Nike, Adidas",Seattle
211,34,Masculino,68000,5666.67,Doutorado,2.9,"Twitter, LinkedIn",Muito Influenciavel,Sim,Electronics,Smartphone,900,"Samsung, iPhone",Miami
212,29,Feminino,54000,4500.0,Mestrado,2.5,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,20,"Maybelline, L'Oréal",Austin
213,33,Masculino,62000,5166.67,Bacharelado,2.7,"Instagram, Twitter",Alguma Influencia,Sim,Home Decor,Throw Pillows,50,"IKEA, Target",San Francisco
214,27,Feminino,52000,4333.33,Mestrado,2.6,"Pinterest, Instagram",Muito Influenciavel,Sim,Fashion,Jeans,60,"Levi's, H&M",Chicago
215,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Electronics,Bluetooth Speaker,60,"JBL, Sony",New York
216,25,Feminino,44000,3666.67,Bacharelado,2.4,"Snapchat, Instagram",Alguma Influencia,Sim,Beauty,Skincare,35,"Neutrogena, CeraVe",Austin
217,29,Masculino,55000,4583.33,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",Los Angeles
218,30,Feminino,57000,4750.0,Mestrado,2.9,"Facebook, Instagram",Muito Influenciavel,Sim,Home Decor,Curtains,40,"IKEA, Target",Seattle
219,34,Masculino,70000,5833.33,Bacharelado,3.1,"Instagram, Twitter",Alguma Influencia,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Miami
220,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Los Angeles
221,29,Masculino,55000,4583.33,Bacharelado,2.5,"Instagram, Facebook",Alguma Influencia,Sim,Electronics,Headphones,100,"Sony, Bose",San Diego
222,28,Feminino,48000,4000.0,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Beauty,Nail Polish,10,"Essie, OPI",New York
223,30,Masculino,56000,4666.67,Bacharelado,2.6,"Facebook, Twitter",Alguma Influencia,Sim,Home Decor,Bedding,120,"IKEA, Target",Austin
224,33,Feminino,62000,5166.67,Mestrado,2.8,"Instagram, TikTok",Muito Influenciavel,Sim,Fashion,T-shirt,20,"Uniqlo, Gap",Seattle
225,27,Masculino,51000,4250.0,Bacharelado,2.3,"Twitter, Snapchat",Alguma Influencia,Sim,Electronics,Smartphone,800,"Samsung, iPhone",Miami
226,28,Feminino,52000,4333.33,Bacharelado,2.4,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,15,"Maybelline, L'Oréal",Chicago
227,32,Masculino,63000,5250.0,Bacharelado,2.7,"Facebook, LinkedIn",Muito Influenciavel,Sim,Fitness,Home Gym Equipment,900,"Bowflex, NordicTrack",New York
228,29,Feminino,54000,4500.0,Mestrado,2.5,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Lighting,70,"Philips, IKEA",San Francisco
229,31,Masculino,60000,5000.0,Bacharelado,2.9,"Instagram, Twitter",Muito Influenciavel,Sim,Electronics,Smartwatch,300,"Apple, Garmin",Chicago
230,26,Feminino,46000,3833.33,Bacharelado,2.2,"TikTok, Snapchat",Alguma Influencia,Sim,Fashion,Jeans,40,"Levi's, H&M",Houston
231,28,Masculino,52000,4333.33,Mestrado,2.6,"Instagram, Pinterest",Alguma Influencia,Sim,Beauty,Skincare,45,"Neutrogena, CeraVe",Miami
232,29,Feminino,54000,4500.0,Mestrado,2.7,"Facebook, TikTok",Muito Influenciavel,Sim,Fitness,Resistance Bands,20,"Bodylastics, Fit Simplify",Los Angeles
233,33,Masculino,62000,5166.67,Bacharelado,2.5,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Soundbar,150,"Bose, Sonos",Phoenix
234,27,Feminino,52000,4333.33,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Wall Art,90,"IKEA, Wayfair",Austin
235,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Beauty,Lip Gloss,10,"Fenty Beauty, NYX",Seattle
236,25,Feminino,44000,3666.67,Bacharelado,2.3,"Snapchat, Instagram",Alguma Influencia,Sim,Electronics,Laptop,700,"Apple, Dell",Boston
237,29,Masculino,58000,4833.33,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Curtains,30,"IKEA, Target",Los Angeles
238,30,Feminino,57000,4750.0,Mestrado,2.7,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,Sneakers,80,"Nike, Adidas",New York
239,34,Masculino,70000,5833.33,Bacharelado,2.9,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Wireless Earbuds,50,"Apple, Sony",Miami
240,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Seattle
241,28,Masculino,49000,4083.33,Bacharelado,2.2,"Instagram, Facebook",Alguma Influencia,Sim,Home Decor,Kitchen Appliances,250,"KitchenAid, Cuisinart",Phoenix
242,27,Feminino,52000,4333.33,Bacharelado,2.3,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Wireless Earbuds,80,"Apple, Sony",Austin
243,33,Masculino,64000,5333.33,Doutorado,3.1,"Twitter, LinkedIn",Muito Influenciavel,Sim,Fitness,Yoga Mat,20,"Gaiam, Manduka",Chicago
244,29,Feminino,55000,4583.33,Mestrado,2.7,"Instagram, Pinterest",Muito Influenciavel,Sim,Beauty,Foundation,30,"Fenty Beauty, Maybelline",Seattle
245,28,Masculino,46000,3833.33,Bacharelado,2.4,"Snapchat, Instagram",Alguma Influencia,Sim,Fashion,Sneakers,60,"Nike, Adidas",San Francisco
246,27,Feminino,50000,4166.67,Bacharelado,2.5,"Instagram, TikTok",Alguma Influencia,Sim,Home Decor,Wall Clock,35,"IKEA, Howard Miller",Los Angeles
247,32,Masculino,61000,5083.33,Bacharelado,2.8,"Facebook, LinkedIn",Muito Influenciavel,Sim,Electronics,Laptop,900,"Apple, Dell",Houston
248,29,Feminino,54000,4500.0,Mestrado,2.6,"Pinterest, Instagram",Muito Influenciavel,Sim,Fashion,Dress,50,"Zara, H&M",Miami
249,27,Masculino,53000,4416.67,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",New York
250,26,Feminino,47000,3916.67,Bacharelado,2.3,"Instagram, TikTok",Alguma Influencia,Sim,Home Decor,Curtains,40,"IKEA, Target",Austin
251,28,Masculino,52000,4333.33,Mestrado,2.7,"Instagram, Pinterest",Alguma Influencia,Sim,Electronics,Smart Speaker,60,"Amazon Echo, Google Home",San Diego
252,29,Feminino,54000,4500.0,Mestrado,2.8,"Facebook, TikTok",Muito Influenciavel,Sim,Fitness,Resistance Bands,25,"Bodylastics, Fit Simplify",Boston
253,33,Masculino,62000,5166.67,Bacharelado,2.6,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Bluetooth Speaker,70,"JBL, Sony",Phoenix
254,27,Feminino,52000,4333.33,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Beauty,Lip Gloss,15,"MAC Cosmetics, Revlon",Austin
255,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Home Decor,Bedding,80,"IKEA, Target",Chicago
256,25,Feminino,44000,3666.67,Bacharelado,2.2,"Snapchat, Instagram",Alguma Influencia,Sim,Electronics,Smartwatch,250,"Apple, Garmin",Los Angeles
257,29,Masculino,58000,4833.33,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Curtains,30,"IKEA, Target",Houston
258,30,Feminino,57000,4750.0,Mestrado,2.7,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,Sneakers,80,"Nike, Adidas",New York
259,34,Masculino,70000,5833.33,Bacharelado,2.9,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Wireless Earbuds,50,"Apple, Sony",Miami
260,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Seattle
261,33,Masculino,64000,5333.33,Doutorado,2.8,"Twitter, Instagram",Alguma Influencia,Sim,Home Decor,Throw Pillows,40,"IKEA, Target",Phoenix
262,29,Feminino,54000,4500.0,Mestrado,2.7,"Instagram, TikTok",Alguma Influencia,Sim,Electronics,Soundbar,120,"Bose, Sonos",Miami
263,34,Masculino,70000,5833.33,Bacharelado,3.0,"Facebook, Twitter",Muito Influenciavel,Sim,Beauty,Lipstick,15,"MAC Cosmetics, Revlon",Los Angeles
264,28,Feminino,48000,4000.0,Bacharelado,2.5,"TikTok, Snapchat",Alguma Influencia,Sim,Fitness,Treadmill,800,"NordicTrack, Peloton",Seattle
265,27,Masculino,52000,4333.33,Bacharelado,2.2,"Twitter, Snapchat",Alguma Influencia,Sim,Fashion,Dress,40,"Zara, H&M",San Francisco
266,30,Feminino,57000,4750.0,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Wall Art,25,"IKEA, Wayfair",Boston
267,33,Masculino,62000,5166.67,Bacharelado,2.6,"Facebook, LinkedIn",Alguma Influencia,Sim,Electronics,Smartwatch,200,"Apple, Garmin",Houston
268,28,Feminino,50000,4166.67,Bacharelado,2.4,"Instagram, Pinterest",Alguma Influencia,Sim,Fitness,Dumbbells,30,"Bowflex, NordicTrack",Chicago
269,27,Masculino,53000,4416.67,Bacharelado,2.7,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Kitchen Appliances,450,"KitchenAid, Cuisinart",Los Angeles
270,30,Feminino,58000,4833.33,Mestrado,2.8,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,Sneakers,70,"Nike, Adidas",Seattle
271,34,Masculino,68000,5666.67,Doutorado,2.9,"Twitter, LinkedIn",Muito Influenciavel,Sim,Electronics,Smartphone,900,"Samsung, iPhone",Miami
272,29,Feminino,54000,4500.0,Mestrado,2.5,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,20,"Maybelline, L'Oréal",Austin
273,33,Masculino,62000,5166.67,Bacharelado,2.7,"Instagram, Twitter",Alguma Influencia,Sim,Home Decor,Throw Pillows,50,"IKEA, Target",San Francisco
274,27,Feminino,52000,4333.33,Mestrado,2.6,"Pinterest, Instagram",Muito Influenciavel,Sim,Fashion,Jeans,60,"Levi's, H&M",Chicago
275,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Electronics,Bluetooth Speaker,60,"JBL, Sony",New York
276,25,Feminino,44000,3666.67,Bacharelado,2.4,"Snapchat, Instagram",Alguma Influencia,Sim,Beauty,Skincare,35,"Neutrogena, CeraVe",Austin
277,29,Masculino,55000,4583.33,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Electronics,Gaming Console,350,"Sony, Microsoft",Los Angeles
278,30,Feminino,57000,4750.0,Mestrado,2.9,"Facebook, Instagram",Muito Influenciavel,Sim,Home Decor,Curtains,40,"IKEA, Target",Seattle
279,34,Masculino,70000,5833.33,Bacharelado,3.1,"Instagram, Twitter",Alguma Influencia,Sim,Fitness,Yoga Mat,25,"Gaiam, Manduka",Miami
280,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Los Angeles
281,29,Masculino,55000,4583.33,Bacharelado,2.5,"Instagram, Facebook",Alguma Influencia,Sim,Electronics,Headphones,100,"Sony, Bose",San Diego
282,28,Feminino,48000,4000.0,Bacharelado,2.4,"TikTok, Snapchat",Alguma Influencia,Sim,Beauty,Nail Polish,10,"Essie, OPI",New York
283,30,Masculino,56000,4666.67,Bacharelado,2.6,"Facebook, Twitter",Alguma Influencia,Sim,Home Decor,Bedding,120,"IKEA, Target",Austin
284,33,Feminino,62000,5166.67,Mestrado,2.8,"Instagram, TikTok",Muito Influenciavel,Sim,Fashion,T-shirt,20,"Uniqlo, Gap",Seattle
285,27,Masculino,51000,4250.0,Bacharelado,2.3,"Twitter, Snapchat",Alguma Influencia,Sim,Electronics,Smartphone,800,"Samsung, iPhone",Miami
286,28,Feminino,52000,4333.33,Bacharelado,2.4,"Instagram, TikTok",Alguma Influencia,Sim,Beauty,Mascara,15,"Maybelline, L'Oréal",Chicago
287,32,Masculino,63000,5250.0,Bacharelado,2.7,"Facebook, LinkedIn",Muito Influenciavel,Sim,Fitness,Home Gym Equipment,900,"Bowflex, NordicTrack",New York
288,29,Feminino,54000,4500.0,Mestrado,2.5,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Lighting,70,"Philips, IKEA",San Francisco
289,31,Masculino,60000,5000.0,Bacharelado,2.9,"Instagram, Twitter",Muito Influenciavel,Sim,Electronics,Smartwatch,300,"Apple, Garmin",Chicago
290,26,Feminino,46000,3833.33,Bacharelado,2.2,"TikTok, Snapchat",Alguma Influencia,Sim,Fashion,Jeans,40,"Levi's, H&M",Houston
291,28,Masculino,52000,4333.33,Mestrado,2.6,"Instagram, Pinterest",Alguma Influencia,Sim,Beauty,Skincare,45,"Neutrogena, CeraVe",Miami
292,29,Feminino,54000,4500.0,Mestrado,2.7,"Facebook, TikTok",Muito Influenciavel,Sim,Fitness,Resistance Bands,20,"Bodylastics, Fit Simplify",Los Angeles
293,33,Masculino,62000,5166.67,Bacharelado,2.5,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Soundbar,150,"Bose, Sonos",Phoenix
294,27,Feminino,52000,4333.33,Mestrado,2.9,"Pinterest, Instagram",Muito Influenciavel,Sim,Home Decor,Wall Art,90,"IKEA, Wayfair",Austin
295,32,Masculino,63000,5250.0,Doutorado,3.0,"LinkedIn, Twitter",Muito Influenciavel,Sim,Beauty,Lip Gloss,10,"Fenty Beauty, NYX",Seattle
296,25,Feminino,44000,3666.67,Bacharelado,2.3,"Snapchat, Instagram",Alguma Influencia,Sim,Electronics,Laptop,700,"Apple, Dell",Boston
297,29,Masculino,58000,4833.33,Bacharelado,2.8,"TikTok, Snapchat",Alguma Influencia,Sim,Home Decor,Curtains,30,"IKEA, Target",Los Angeles
298,30,Feminino,57000,4750.0,Mestrado,2.7,"Facebook, Instagram",Muito Influenciavel,Sim,Fashion,Sneakers,80,"Nike, Adidas",New York
299,34,Masculino,70000,5833.33,Bacharelado,2.9,"Instagram, Twitter",Alguma Influencia,Sim,Electronics,Wireless Earbuds,50,"Apple, Sony",Miami
300,23,Feminino,36000,3000.0,Ensino Medio,4.0,"TikTok, Snapchat",Nao Influenciavel,Nao,N/D,N/D,0,N/D,Seattle
